spot_location_1,spot_location_2,spot_location_3,gene,is_noise,clustermap
587,442,32,1,0,772.0
628,484,29,1,0,219.0
642,538,29,1,0,26.0
649,607,28,1,0,1139.0
651,533,29,1,0,26.0
654,555,29,1,0,30.0
675,588,29,1,0,212.0
689,545,28,1,0,-1.0
689,606,29,1,0,212.0
693,550,29,1,0,695.0
693,615,29,1,0,1451.0
698,545,29,1,0,695.0
703,583,29,1,0,353.0
713,525,29,1,0,1418.0
716,593,30,1,0,353.0
723,571,29,1,0,354.0
725,422,28,1,0,27.0
732,562,29,1,0,354.0
751,579,29,1,0,12.0
756,621,29,1,0,363.0
775,418,29,1,-1,-1.0
778,607,30,1,0,1447.0
782,766,29,1,0,1066.0
786,7,30,1,-1,-1.0
787,533,29,1,0,250.0
787,540,30,1,0,250.0
807,432,29,1,0,664.0
883,532,28,1,0,398.0
892,515,29,1,0,216.0
900,515,28,1,0,216.0
900,538,28,1,0,216.0
909,518,29,1,0,216.0
918,539,29,1,0,405.0
918,542,30,1,0,405.0
955,563,30,1,0,1434.0
970,570,28,1,0,1434.0
984,585,30,1,0,1434.0
996,613,30,1,0,1154.0
25,520,30,1,0,33.0
33,461,30,1,0,31.0
44,548,31,1,0,1096.0
52,576,30,1,0,220.0
84,570,30,1,0,1427.0
88,574,30,1,0,1427.0
106,551,30,1,0,1427.0
107,611,29,1,0,486.0
113,545,30,1,0,1427.0
120,494,29,1,0,1046.0
125,575,30,1,0,74.0
140,582,29,1,0,74.0
161,527,30,1,0,-1.0
167,535,31,1,0,-1.0
175,535,31,1,0,236.0
181,547,31,1,0,236.0
183,535,30,1,0,236.0
182,604,29,1,0,666.0
187,527,30,1,0,236.0
191,533,33,1,0,236.0
189,538,30,1,0,236.0
195,522,36,1,0,236.0
193,515,30,1,0,236.0
193,527,31,1,0,236.0
198,522,30,1,0,236.0
200,512,30,1,0,41.0
205,521,29,1,0,41.0
205,548,30,1,0,236.0
208,543,31,1,0,236.0
219,406,31,1,-1,-1.0
221,563,30,1,0,1433.0
224,577,30,1,0,1433.0
231,541,29,1,0,-1.0
237,532,29,1,0,-1.0
238,545,31,1,0,-1.0
242,158,30,1,0,441.0
242,533,30,1,0,-1.0
244,527,30,1,0,-1.0
253,529,30,1,0,49.0
257,551,30,1,-1,-1.0
263,565,31,1,0,1438.0
269,918,30,1,0,63.0
273,534,30,1,0,49.0
275,592,30,1,0,230.0
278,534,30,1,0,49.0
280,573,30,1,0,230.0
280,583,30,1,0,230.0
285,567,30,1,0,230.0
292,575,30,1,0,230.0
291,810,31,1,0,376.0
298,554,32,1,0,712.0
300,569,31,1,0,230.0
310,572,31,1,0,230.0
309,575,31,1,0,230.0
314,171,31,1,0,795.0
337,680,30,1,0,387.0
337,766,31,1,0,29.0
386,641,30,1,-1,-1.0
417,560,30,1,0,378.0
428,556,31,1,0,401.0
442,840,32,1,-1,-1.0
445,608,30,1,0,211.0
456,615,30,1,-1,-1.0
481,511,29,1,0,25.0
488,511,30,1,0,25.0
488,553,30,1,-1,-1.0
502,609,31,1,0,403.0
516,550,29,1,-1,-1.0
552,595,29,1,0,1443.0
587,166,32,1,-1,-1.0
610,592,30,1,0,464.0
625,499,30,1,0,349.0
631,568,29,1,0,30.0
636,552,30,1,0,30.0
641,563,31,1,0,30.0
651,565,30,1,0,246.0
652,82,29,1,0,-1.0
677,605,30,1,0,212.0
678,590,31,1,0,212.0
696,566,30,1,0,695.0
